# Train        Test        
    0.014911     0.015597 
    0.014052     0.013988 
    0.014716     0.014559 
    0.014052     0.014121 
    0.013009     0.012919 
    0.013060     0.012727 
    0.011839     0.011004 
    0.011282     0.012247 
    0.010979     0.012900 
    0.012429     0.012471 
    0.011120     0.015049 
    0.011905     0.012588 
    0.011354     0.012823 
    0.012141     0.010765 
    0.011828     0.013338 
    0.011561     0.013167 
    0.012580     0.011164 
    0.011877     0.017815 
    0.012135     0.010928 
    0.014099     0.010734 
    0.011208     0.012357 
    0.010322     0.014534 
    0.013604     0.012925 
    0.011626     0.011602 
    0.010028     0.011881 
    0.012274     0.015010 
    0.012310     0.016013 
    0.010518     0.011982 
    0.012802     0.011577 
    0.011354     0.012031 
    0.014628     0.011991 
    0.011146     0.014116 
    0.014955     0.013209 
    0.011083     0.013302 
    0.014645     0.009626 
