# Train        Test        
 1397.989795  1137.488770 
 1341.714590   579.291138 
 1120.055693   945.208008 
  929.405330   884.958679 
  993.512507   692.642395 
 1063.285215  1143.122070 
  966.104033  1307.353394 
  924.932283   750.130432 
 1042.698555  1154.082764 
  909.194136  1047.231934 
 1319.726453   814.738708 
  884.124609   629.361816 
  958.055637   793.033997 
 1149.768416   951.398621 
  935.330771   873.904907 
  932.243276  1095.019409 
  919.265872   612.394470 
  836.186880  1088.529785 
 1093.897451  1279.570435 
  812.416538   940.601440 
  937.232594   777.682922 
  817.658486   659.907715 
  884.333835   732.439392 
 1008.331348   609.388916 
 1389.625208   704.304138 
  964.384465   722.140320 
 1064.321431  1232.781738 
  971.570286   614.993103 
  925.157515  1394.963379 
  877.798066  1281.387207 
  804.492100   546.321533 
  883.913464   792.182312 
  936.358579   870.170898 
  812.025288   913.813599 
 1109.036472   727.422485 
